City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Kupang,ID,80.51,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
566,Nakhon Ratchasima,TH,82.56,few clouds,15.0,102.1667,U-Sabai Park Hotel & Resort
567,Tiarei,PF,87.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
568,Mahibadhoo,MV,81.97,overcast clouds,3.7833,72.9667,Omadhoo Inn
573,Pak Phanang,TH,78.06,scattered clouds,8.3511,100.20200000000001,Green Park Inn Hotel
574,Gobabis,,72.21,overcast clouds,-22.45,18.9667,Goba Lodge
576,Beloha,MG,74.93,broken clouds,-25.1667,45.05,
577,Cobija,BO,74.28,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
578,Jiwani,PK,70.59,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
583,Thinadhoo,MV,82.89,overcast clouds,0.5333,72.9333,
586,Te Anau,NZ,64.17,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
593,Pandamatenga,BW,64.76,scattered clouds,-18.5278,25.627,Wildtrack Safaris Eco Lodge
595,Carutapera,BR,75.83,overcast clouds,-1.195,-46.02,Lidera
596,Tucuma,BR,76.59,light rain,-0.1833,-50.05,
598,Urubicha,BO,77.49,overcast clouds,-15.3833,-62.95,
600,Oranjestad,AW,82.35,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
